title,clean_title,link,filepath
"
        Курс ""Веб-дизайнер 2.0"" – обучение проектированию интерфейсов для сайтов или веб-приложений с 0
    ","Курс ""Веб-дизайнер 2.0"" – обучение проектированию интерфейсов для сайтов или веб-приложений с 0",https://gb.ru/geek_university/design/web-spec-gb,texts/Курс _Веб_дизайнер 2_0_ _ обучение проектированию интерфейсов для сайтов или веб_приложений с 0.txt
Python-разработчик ,Python-разработчик,https://gb.ru/geek_university/developer/programmer/python/master,texts/Python_разработчик.txt
Менеджер проектов в ИТ,Менеджер проектов в ИТ,https://gb.ru/geek_university/developer/project-manager-gb,texts/Менеджер проектов в ИТ.txt
Разработчик умных устройств,Разработчик умных устройств,https://gb.ru/geek_university/developer/programmer/internet-of-things,texts/Разработчик умных устройств.txt
Бизнес-аналитик: быстрый старт в профессии,Бизнес-аналитик,https://gb.ru/geek_university/developer/analyst/business-gb,texts/Бизнес_аналитик.txt
Тестировщик ПО,Тестировщик ПО,https://gb.ru/geek_university/it-specialist/qa,texts/Тестировщик ПО.txt
Data Scientist в медицине: ,Data Scientist в медицине:,https://gb.ru/geek_university/developer/analyst/data-science-medicine,texts/Data Scientist в медицине_.txt
Разработчик игр на Unreal Engine,Разработчик игр на Unreal Engine,https://gb.ru/geek_university/developer/programmer/unrealengine-gb,texts/Разработчик игр на Unreal Engine.txt
"
        Курс SMM-менеджер - обучение СММ продвижению с нуля - GeekBrain
    ",Курс SMM-менеджер - обучение СММ продвижению с нуля - GeekBrain,https://gb.ru/geek_university/marketing/smm-management-spec,texts/Курс SMM_менеджер _ обучение СММ продвижению с нуля _ GeekBrain.txt
SMM-менеджер: быстрый старт в профессии,SMM-менеджер,https://gb.ru/geek_university/marketing/smm-management-spec-gb,texts/SMM_менеджер.txt
Менеджер маркетплейсов,Менеджер маркетплейсов,https://gb.ru/geek_university/marketing/e-commerce-spec-gb,texts/Менеджер маркетплейсов.txt
Программист C++,Программист C++,https://gb.ru/geek_university/developer/programmer/cpp-spec-gb,texts/Программист C__.txt
Веб-разработчик: быстрый старт в профессии,Веб-разработчик,https://gb.ru/geek_university/developer/programmer/web,texts/Веб_разработчик.txt
SEO-специалист,SEO-специалист,https://gb.ru/geek_university/marketing/seo,texts/SEO_специалист.txt
Системный и бизнес аналитик: 2 в 1,Системный и бизнес аналитик: 2 в 1,https://gb.ru/geek_university/developer/analyst/system-business,texts/Системный и бизнес аналитик_ 2 в 1.txt
Ландшафтный дизайнер: быстрый старт в профессии,Ландшафтный дизайнер,https://gb.ru/geek_university/design/landscape-spec-gb,texts/Ландшафтный дизайнер.txt
Цифровой дизайнер ,Цифровой дизайнер,https://gb.ru/geek_university/design/digital,texts/Цифровой дизайнер.txt
"
        Курс ""Дизайнер интерфейсов (UX/UI)"" – обучение профессии с нуля
    ","Курс ""Дизайнер интерфейсов (UX/UI)"" – обучение профессии с нуля",https://gb.ru/geek_university/design/interface-spec,texts/Курс _Дизайнер интерфейсов _UX_UI__ _ обучение профессии с нуля.txt
DevOps-инженер ,DevOps-инженер,https://gb.ru/geek_university/developer/architecture/devops,texts/DevOps_инженер.txt
"
        Графический дизайнер | GeekBrains
    ",Графический дизайнер | GeekBrains,https://gb.ru/geek_university/design/graphic-gb,texts/Графический дизайнер _ GeekBrains.txt
Тестировщик ,Тестировщик,https://gb.ru/geek_university/developer/qa-engineer/master,texts/Тестировщик.txt
"
        Обучение C++ разработчиков - онлайн курс программирования на С++ c нуля - GeekBains
    ",Обучение C++ разработчиков - онлайн курс программирования на С++ c нуля - GeekBains,https://gb.ru/geek_university/developer/programmer/cpp,texts/Обучение C__ разработчиков _ онлайн курс программирования на С__ c нуля _ GeekBains.txt
1С-разработчик ,1С-разработчик,https://gb.ru/geek_university/developer/programmer/1c-developer,texts/1С_разработчик.txt
Fullstack-разработчик: быстрый старт в профессии,Fullstack-разработчик,https://gb.ru/geek_university/developer/programmer/fullstack,texts/Fullstack_разработчик.txt
Backend-разработчик,Backend-разработчик,https://gb.ru/geek_university/developer/programmer/backend,texts/Backend_разработчик.txt
Разработчик игр на Unity,Разработчик игр на Unity,https://gb.ru/geek_university/developer/programmer/unity-gb,texts/Разработчик игр на Unity.txt
Менеджер продуктов в ИТ,Менеджер продуктов в ИТ,https://gb.ru/geek_university/developer/product-manager-gb,texts/Менеджер продуктов в ИТ.txt
Фотограф,Фотограф,https://gb.ru/geek_university/design/photographer-gb,texts/Фотограф.txt
Бренд-менеджер,Бренд-менеджер,https://gb.ru/geek_university/marketing/brand,texts/Бренд_менеджер.txt
iOS-разработчик,iOS-разработчик,https://gb.ru/geek_university/developer/programmer/ios,texts/iOS_разработчик.txt
Системный аналитик: быстрый старт в профессии,Системный аналитик,https://gb.ru/geek_university/developer/analyst/systems,texts/Системный аналитик.txt
Финансовый аналитик,Финансовый аналитик,https://gb.ru/geek_university/developer/analyst/finance,texts/Финансовый аналитик.txt
Java-разработчик ,Java-разработчик,https://gb.ru/geek_university/developer/programmer/java/master,texts/Java_разработчик.txt
Иллюстратор,Иллюстратор,https://gb.ru/geek_university/design/illustrator-gb,texts/Иллюстратор.txt
Специалист по 3D-моделированию,Специалист по 3D-моделированию,https://gb.ru/geek_university/design/3d-spec,texts/Специалист по 3D_моделированию.txt
Frontend-разработчик ,Frontend-разработчик,https://gb.ru/geek_university/developer/programmer/frontend/master,texts/Frontend_разработчик.txt
Моушн-дизайнер,Моушн-дизайнер,https://gb.ru/geek_university/design/motion-spec-gb,texts/Моушн_дизайнер.txt
Специалист по контекстной рекламе: быстрый старт в профессии,Специалист по контекстной рекламе,https://gb.ru/geek_university/marketing/context-spec,texts/Специалист по контекстной рекламе.txt
BI-аналитик,BI-аналитик,https://gb.ru/geek_university/developer/analyst/bi,texts/BI_аналитик.txt
Редактор,Редактор,https://gb.ru/geek_university/marketing/copywriter,texts/Редактор.txt
ИТ-специалист в сфере Data Science,ИТ-специалист в сфере Data Science,https://gb.ru/geek_university/engineer/datascience,texts/ИТ_специалист в сфере Data Science.txt
Маркетолог: быстрый старт в профессии,Маркетолог,https://gb.ru/geek_university/marketing/digital/specialist,texts/Маркетолог.txt
Продуктовый маркетолог ,Продуктовый маркетолог,https://gb.ru/geek_university/marketing/product,texts/Продуктовый маркетолог.txt
"
        Специалист по аналитике | GeekBrains
    ",Специалист по аналитике | GeekBrains,https://gb.ru/geek_university/it-specialist/analyst,texts/Специалист по аналитике _ GeekBrains.txt
Таргетолог: быстрый старт в профессии,Таргетолог,https://gb.ru/geek_university/marketing/targeting-spec,texts/Таргетолог.txt
Android-разработчик: быстрый старт в профессии,Android-разработчик,https://gb.ru/geek_university/developer/programmer/android-spec,texts/Android_разработчик.txt
Android-разработчик ,Android-разработчик,https://gb.ru/geek_university/developer/programmer/android,texts/Android_разработчик.txt
Графический дизайнер ,Графический дизайнер,https://gb.ru/geek_university/design/graphic/master,texts/Графический дизайнер.txt
Сетевой инженер,Сетевой инженер,https://gb.ru/geek_university/developer/architecture/network-engineer,texts/Сетевой инженер.txt
Таргетолог ,Таргетолог,https://gb.ru/geek_university/marketing/targeting,texts/Таргетолог.txt
Менеджер маркетплейсов ,Менеджер маркетплейсов,https://gb.ru/geek_university/marketing/e-commerce,texts/Менеджер маркетплейсов.txt
Цифровой дизайнер ,Цифровой дизайнер,https://gb.ru/geek_university/design/digital/master,texts/Цифровой дизайнер.txt
SMM-менеджер ,SMM-менеджер,https://gb.ru/geek_university/marketing/smm-management,texts/SMM_менеджер.txt
Геймдизайнер,Геймдизайнер,https://gb.ru/geek_university/games/game-designer-gb,texts/Геймдизайнер.txt
Трафик-менеджер,Трафик-менеджер,https://gb.ru/geek_university/marketing/traffic-spec,texts/Трафик_менеджер.txt
3D-дженералист,3D-дженералист,https://gb.ru/geek_university/games/3d-generalist-gb,texts/3D_дженералист.txt
Режиссер монтажа,Режиссер монтажа,https://gb.ru/geek_university/multimedia/film-editor-gb,texts/Режиссер монтажа.txt
UX/UI-дизайнер ,UX/UI-дизайнер,https://gb.ru/geek_university/design/interface,texts/UX_UI_дизайнер.txt
Концепт-художник,Концепт-художник,https://gb.ru/geek_university/design/concept-artist-gb,texts/Концепт_художник.txt
3D-художник,3D-художник,https://gb.ru/geek_university/design/3d-artist-gb,texts/3D_художник.txt
Сценарист,Сценарист,https://gb.ru/geek_university/multimedia/screenwriter-gb,texts/Сценарист.txt
Fullstack-дизайнер,Fullstack-дизайнер,https://gb.ru/geek_university/design/fullstack-spec,texts/Fullstack_дизайнер.txt
Геймдизайнер,Геймдизайнер,https://gb.ru/geek_university/design/game-design-spec,texts/Геймдизайнер.txt
Бухгалтер,Бухгалтер,https://gb.ru/geek_university/management/accountant,texts/Бухгалтер.txt
Как продавать на Wildberries,Как продавать на Wildberries,https://gb.ru/geek_university/marketing/wildberries-sales,texts/Как продавать на Wildberries.txt
